,address,bathrooms,bedrooms,building_sqft,desc,garages,img_url,list_price,list_status,list_url,lot_sqft,mls_num,pool,real_comp_link,real_comp_name,real_link,real_name,stories,year_built
0,"8409 Woodward Street, Houston, TX 77051",.1 Full  Bath(s),2 Bed(s),".1,013 Building Sqft.","Single-Family Property, Traditional Style  in Sunnyside Place Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/155038403/lr/img-1.jpeg?ts=2018-11-06T12:50:21.877);," $ 58,000   ",Under Contract - Pending,/8409-woodward-street/sale_49419915,"5,000 Lot Sqft.",MLS# 49419915,No Private Pool ,/alon-realty-co--------------/broker_ALON01,A'Lon Realty Co.              ,/nola-lusk/agent_NOLA,Nola Lusk,.1 Stories,Built in 1940
1,"8029 Garland Street, Houston, TX 77017",.1 Full  Bath(s),3 Bed(s),".1,061 Building Sqft.","Single-Family Property, Traditional Style  in Meadowbrook Sec G Subdivision  in Hobby Area (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/174291695/lr/img-1.jpeg?ts=2019-06-04T12:59:01.960);," $ 57,000   ",For Sale,/8029-garland-street/sale_30641561,"5,720 Lot Sqft.",MLS# 30641561,No Private Pool ,/ameristar-realtors-----------/broker_STAR01,"Ameristar, REALTORS           ",/cheryn-reynolds/agent_REYNOLDS,Cheryn Reynolds,.1 Stories,Built in 1949
2,"3715 Colvin Street, Houston, TX 77013",.1 Full  Bath(s),4 Bed(s),".1,242 Building Sqft.","Single-Family Property, Traditional Style  in Wallisville Gardens U/r Subdivision  in Northeast Houston (Market Area) ",2 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/173799977/lr/img-1.jpeg?ts=2019-05-21T10:53:17.143);," $ 57,000   ",Under Contract - Pending Continue to Show,/3715-colvin-street/sale_48617139,"13,680 Lot Sqft.",MLS# 48617139,No Private Pool ,/ameristar-realtors-----------/broker_STAR01,"Ameristar, REALTORS           ",/cheryn-reynolds/agent_REYNOLDS,Cheryn Reynolds,.1 Stories,Built in 1940
3,"423 Clearwater Street, Houston, TX 77029",.2 Full  Bath(s),4 Bed(s),".1,584 Building Sqft.","Single-Family Property, Other Style Style  in Fidelity Subdivision  in North Channel (Market Area) ",,background-image:url(https://photos.harstatic.com/170732493/lr/img-1.jpeg?ts=2019-02-26T17:29:39.900);," $ 56,000   ",Under Contract - Pending,/423-clearwater-street/sale_40544589,"7,500 Lot Sqft.",MLS# 40544589,No Private Pool ,/coldwell-banker-united-realtors---kingwood/broker_COLD25,"Coldwell Banker United, Realtors - Kingwood",/victoria-thomas/agent_acan,Victoria Thomas,.1 Stories,Built in 1940
4,"2633 Sadler Street, Houston, TX 77093",.2 Full  Bath(s),3 Bed(s),".1,663 Building Sqft.","Single-Family Property, Ranch Style  in Berry Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/171012006/lr/img-1.jpeg?ts=2019-03-04T11:42:20.720);," $ 55,120   ",Under Contract - Pending,/2633-sadler-street/sale_44487003,"9,774 Lot Sqft.",MLS# 44487003,No Private Pool ,/realhome-services--and--solutions/broker_ALTS01,RealHome Services & Solutions,/dana-rowell/agent_ROWELL,Dana Rowell,.1 Stories,Built in 1940
5,"4315 Jamie Lane, Houston, TX 77048",.2 Full  Bath(s),3 Bed(s),".1,038 Building Sqft.","Single-Family Property, Traditional Style  in Parker Gardens Sec 01 Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174874590/lr/img-1.jpeg?ts=2019-06-17T12:37:19.713);," $ 55,000   ",For Sale,/4315-jamie-lane/sale_73419400,"11,055 Lot Sqft.",MLS# 73419400,No Private Pool ,/glenn-parmlee-real-estate-services/broker_GLEN01,Glenn Parmlee Real Estate Services,/glenn-parmlee/agent_GPARMLEE,Glenn Parmlee,.1 Stories,Built in 1980
6,"5538 Lakefield Drive, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),.968 Building Sqft.,"Single-Family Property, Traditional Style  in Crestmont 2 Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/174857021/lr/img-1.jpeg?ts=2019-06-18T08:01:18.647);," $ 55,000   ",Under Contract - Option Pending,/5538-lakefield-drive/sale_10209633,"7,080 Lot Sqft.",MLS# 10209633,No Private Pool ,/moore-fine-properties/broker_MRFP01,Moore Fine Properties,/daniel-moore/agent_DaMoore,Daniel Moore,.1 Stories,Built in 1959
7,"3031 Groton Drive, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),".1,259 Building Sqft.","Single-Family Property, Traditional Style  in Sugar Valley Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174806277/lr/img-1.jpeg?ts=2019-06-14T15:05:38.280);," $ 55,000   ",For Sale,/3031-groton-drive/sale_66897203,"6,050 Lot Sqft.",MLS# 66897203,No Private Pool ,/mission-real-estate-group/broker_ILEY01,Mission Real Estate Group,/joe-iley/agent_jiley,Joe Iley,.1 Stories,Built in 1961
8,"6525 Sealey Street, Houston, TX 77091",.1 Full  Bath(s),2 Bed(s),".1,236 Building Sqft.","Single-Family Property, Other Style Style  in Highland Heights Annex Sec 02 Subdivision  in Northwest Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/173512138/lr/img-1.jpeg?ts=2019-05-13T10:41:37.747);," $ 55,000   ",For Sale,/6525-sealey-street/sale_40695249,"5,332 Lot Sqft.",MLS# 40695249,No Private Pool ,/durmoye-realty/broker_DURM01,Durmoye Realty,/pamela-hamilton/agent_PamHam,Pamela Hamilton,.1 Stories,Built in 1941
9,"4542 White Rock Street, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),.924 Building Sqft.,"Single-Family Property, Traditional Style  in East Sunnyside Court Sec 01 Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/173011391/lr/img-1.jpeg?ts=2019-04-30T08:40:23.783);," $ 55,000   ",Under Contract - Pending,/4542-white-rock-street/sale_54782452,"5,250 Lot Sqft.",MLS# 54782452,No Private Pool ,/re_max-signature/broker_RMSI02,RE/MAX Signature,/kyle-green/agent_KyleDG,Kyle Green,.1 Stories,Built in 1945
10,"3747 Dreyfus Street, Houston, TX 77021",.1 Full  Bath(s),2 Bed(s),.879 Building Sqft.,"Single-Family Property, Traditional Style  in Southlawn Subdivision  in University Area (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/171853962/lr/img-1.jpeg?ts=2019-04-05T16:30:20.380);," $ 55,000   ",Under Contract - Pending,/3747-dreyfus-street/sale_91643579,"5,000 Lot Sqft.",MLS# 91643579,No Private Pool ,/re_max-fine-properties/broker_RMFP01,RE/MAX Fine Properties,/barbara-mok/agent_MOKB,Barbara Mok,.1 Stories,Built in 1950
11,"4315 Jamie Lane, Houston, TX 77048",.2 Full  Bath(s),3 Bed(s),".1,038 Building Sqft.","Single-Family Property, Traditional Style  in Parker Gardens Sec 01 Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174874590/lr/img-1.jpeg?ts=2019-06-17T12:37:19.713);," $ 55,000   ",For Sale,/4315-jamie-lane/sale_73419400,"11,055 Lot Sqft.",MLS# 73419400,No Private Pool ,/glenn-parmlee-real-estate-services/broker_GLEN01,Glenn Parmlee Real Estate Services,/glenn-parmlee/agent_GPARMLEE,Glenn Parmlee,.1 Stories,Built in 1980
12,"5538 Lakefield Drive, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),.968 Building Sqft.,"Single-Family Property, Traditional Style  in Crestmont 2 Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/174857021/lr/img-1.jpeg?ts=2019-06-18T08:01:18.647);," $ 55,000   ",Under Contract - Option Pending,/5538-lakefield-drive/sale_10209633,"7,080 Lot Sqft.",MLS# 10209633,No Private Pool ,/moore-fine-properties/broker_MRFP01,Moore Fine Properties,/daniel-moore/agent_DaMoore,Daniel Moore,.1 Stories,Built in 1959
13,"3031 Groton Drive, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),".1,259 Building Sqft.","Single-Family Property, Traditional Style  in Sugar Valley Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174806277/lr/img-1.jpeg?ts=2019-06-14T15:05:38.280);," $ 55,000   ",For Sale,/3031-groton-drive/sale_66897203,"6,050 Lot Sqft.",MLS# 66897203,No Private Pool ,/mission-real-estate-group/broker_ILEY01,Mission Real Estate Group,/joe-iley/agent_jiley,Joe Iley,.1 Stories,Built in 1961
14,"6525 Sealey Street, Houston, TX 77091",.1 Full  Bath(s),2 Bed(s),".1,236 Building Sqft.","Single-Family Property, Other Style Style  in Highland Heights Annex Sec 02 Subdivision  in Northwest Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/173512138/lr/img-1.jpeg?ts=2019-05-13T10:41:37.747);," $ 55,000   ",For Sale,/6525-sealey-street/sale_40695249,"5,332 Lot Sqft.",MLS# 40695249,No Private Pool ,/durmoye-realty/broker_DURM01,Durmoye Realty,/pamela-hamilton/agent_PamHam,Pamela Hamilton,.1 Stories,Built in 1941
15,"4542 White Rock Street, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),.924 Building Sqft.,"Single-Family Property, Traditional Style  in East Sunnyside Court Sec 01 Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/173011391/lr/img-1.jpeg?ts=2019-04-30T08:40:23.783);," $ 55,000   ",Under Contract - Pending,/4542-white-rock-street/sale_54782452,"5,250 Lot Sqft.",MLS# 54782452,No Private Pool ,/re_max-signature/broker_RMSI02,RE/MAX Signature,/kyle-green/agent_KyleDG,Kyle Green,.1 Stories,Built in 1945
16,"3747 Dreyfus Street, Houston, TX 77021",.1 Full  Bath(s),2 Bed(s),.879 Building Sqft.,"Single-Family Property, Traditional Style  in Southlawn Subdivision  in University Area (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/171853962/lr/img-1.jpeg?ts=2019-04-05T16:30:20.380);," $ 55,000   ",Under Contract - Pending,/3747-dreyfus-street/sale_91643579,"5,000 Lot Sqft.",MLS# 91643579,No Private Pool ,/re_max-fine-properties/broker_RMFP01,RE/MAX Fine Properties,/barbara-mok/agent_MOKB,Barbara Mok,.1 Stories,Built in 1950
17,"4513 Phlox Street, Houston, TX 77051",.1 Full  Bath(s),2 Bed(s),".1,116 Building Sqft.","Single-Family Property, Traditional Style  in Flower City Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/173483213/lr/img-1.jpeg?ts=2019-05-17T15:21:47.723);," $ 54,900   ",For Sale,/4513-phlox-street/sale_39679337,"5,000 Lot Sqft.",MLS# 39679337,No Private Pool ,/f1t-properties/broker_LUCI01,F1T Properties,/selena-choi/agent_SChoi,Selena Choi,.1 Stories,Built in 1940
18,"3030 Nita Street S, Houston, TX 77051",.1 Full  Bath(s),2 Bed(s),.892 Building Sqft.,"Single-Family Property, Traditional Style  in Reedwoods Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/148738943/lr/img-1.jpeg?ts=2018-04-28T15:30:08.790);," $ 52,000   ",Under Contract - Pending,/3030-nita-street-s/sale_72186513,"6,050 Lot Sqft.",MLS# 72186513,No Private Pool ,/keller-williams-houston-preferred/broker_KWPL01,Keller Williams Houston Preferred,/celia-harness/agent_CELIAH,Celia Harness,.1 Stories,Built in 1955
19,"9109 Allwood Street, Houston, TX 77016",.1 Full & 1 Half Bath(s),3 Bed(s),".1,372 Building Sqft.","Single-Family Property, Traditional Style  in North Shadydale Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/173731604/lr/img-1.jpeg?ts=2019-05-17T14:55:57.140);," $ 51,000   ",Under Contract - Pending,/9109-allwood-street/sale_70329355,"14,400 Lot Sqft.",MLS# 70329355,No Private Pool ,/re_max-east-------------------/broker_RMAE01,RE/MAX East                   ,/shirley-whalen/agent_WHALENS,Shirley Whalen,.1 Stories,Built in 1949
20,"7641 Crofton Street, Houston, TX 77028",.1 Full  Bath(s),2 Bed(s),".1,064 Building Sqft.","Single-Family Property, Traditional Style  in Glen Manor Sec 02 Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/172927581/lr/img-1.jpeg?ts=2019-04-26T20:20:23.740);," $ 51,000   ",For Sale,/7641-crofton-street/sale_95699186,"7,380 Lot Sqft.",MLS# 95699186,No Private Pool ,/atmosphere-real-estate/broker_ATMR01,Atmosphere Real Estate,/bassel-delly/agent_basel,Bassel Delly,.1 Stories,Built in 1950
21,"3301 Drew Street, Houston, TX 77004",.1 Full  Bath(s),2 Bed(s),.684 Building Sqft.,"Single-Family Property, Traditional Style  in Wilson Wm A Subdivision  in University Area (Market Area) ",,background-image:url(https://photos.harstatic.com/174801991/lr/img-1.jpeg?ts=2019-06-16T15:48:20.490);," $ 50,000   ",For Sale,/3301-drew-street/sale_49092203,"1,667 Lot Sqft.",MLS# 49092203,No Private Pool ,/keller-williams-realty-clear-lake-_-nasa/broker_KWCL01,Keller Williams Realty Clear Lake / NASA,/valerie-grimm/agent_vgrimm,Valerie Grimm,.1 Stories,Built in 1938
22,"5329 Pederson Street, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),".1,030 Building Sqft.","Single-Family Property, Traditional Style  in Sunnyside Gardens Resub Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/174663911/lr/img-1.jpeg?ts=2019-06-11T16:16:17.240);," $ 50,000   ",Under Contract - Pending,/5329-pederson-street/sale_77968713,"7,320 Lot Sqft.",MLS# 77968713,No Private Pool ,/craft-texas-properties/broker_BCTP01,Craft Texas Properties,/bryan-craft/agent_BRYANC,Bryan Craft,.1 Stories,Built in 1947
23,"631 Spell Street, Houston, TX 77022",.2 Full  Bath(s),3 Bed(s),".1,612 Building Sqft.","Single-Family Property, Ranch Style  in Glenburnie Sec 03 Subdivision  in Northwest Houston (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/174981162/lr/img-1.jpeg?ts=2019-06-19T16:38:04.937);," $ 70,000   ",For Sale,/631-spell-street/sale_16608621,"9,150 Lot Sqft.",MLS# 16608621,No Private Pool ,/realty-associates-------------/broker_PBME01,Realty Associates             ,/james-coleman/agent_MCOLEMAN,James Coleman,.1 Stories,Built in 1955
24,"139 Woolworth Street, Houston, TX 77020",.1 Full  Bath(s),3 Bed(s),".1,140 Building Sqft.","Single-Family Property, Other Style Style  in Harbor Homesite Subdivision  in Denver Harbor (Market Area) ",,background-image:url(https://photos.harstatic.com/174668022/lr/img-1.jpeg?ts=2019-06-11T18:58:47.407);," $ 70,000   ",For Sale,/139-woolworth-street/sale_14230352,"5,200 Lot Sqft.",MLS# 14230352,No Private Pool ,/blue-j-realty/broker_BLUJ01,Blue J Realty,/bonnie-patino/agent_bonniep,Bonnie Patino,.1 Stories,Built in 1950
25,"3023 Groton Drive, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),".1,020 Building Sqft.","Single-Family Property, Traditional Style  in Sugar Valley Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/174358516/lr/img-1.jpeg?ts=2019-06-04T12:09:48.420);," $ 70,000   ",Under Contract - Pending,/3023-groton-drive/sale_31935507,"6,050 Lot Sqft.",MLS# 31935507,No Private Pool ,/briko-realty-services/broker_TPSJ01,Briko Realty Services,/joseph-peterson/agent_joep,Joseph Peterson,.1 Stories,Built in 1961
26,"5042 Bataan Road, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),".1,164 Building Sqft.","Single-Family Property, Traditional Style  in South Park Sec 02 Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/157179918/lr/img-1.jpeg?ts=2019-02-04T17:53:19.567);," $ 70,000   ",Under Contract - Pending,/5042-bataan-road/sale_30402622,"6,816 Lot Sqft.",MLS# 30402622,No Private Pool ,/dunamis-realty-group/broker_DUNA01,Dunamis Realty Group,/antonio-bermudez/agent_BERMUDEZ,Antonio Bermudez,.1 Stories,Built in 1950
27,"3218 Roland Street, Houston, TX 77026",.1 Full  Bath(s),3 Bed(s),.940 Building Sqft.,"Single-Family Property, Traditional Style  in Angiers Sec 01 Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/155251809/lr/img-1.jpeg?ts=2018-11-13T09:11:49.843);," $ 70,000   ",Under Contract - Pending,/3218-roland-street/sale_5515421,"3,612 Lot Sqft.",MLS# 5515421,No Private Pool ,/tee-pee-realty-pllc/broker_RTMH01,Tee Pee Realty PLLC,/betty-harrison/agent_HARRISOB,Betty Harrison,.1 Stories,Built in 1946
28,"13130 Joliet Street, Houston, TX 77015",.1 Full  Bath(s),3 Bed(s),".1,503 Building Sqft.","Single-Family Property, Traditional Style  in Home Owned Estates Sec 05 Subdivision  in North Channel (Market Area) ",,background-image:url(https://photos.harstatic.com/173988194/lr/img-1.jpeg?ts=2019-05-24T14:05:05.950);," $ 69,900   ",Under Contract - Pending,/13130-joliet-street/sale_35492728,"8,400 Lot Sqft.",MLS# 35492728,No Private Pool ,/re_max-east-------------------/broker_RMAE01,RE/MAX East                   ,/melba-lara/agent_LARAM,Melba Lara,.1 Stories,Built in 1950
29,"7917 Boy Street, Houston, TX 77028",.1 Full  Bath(s),3 Bed(s),".2,016 Building Sqft.","Single-Family Property, Traditional Style  in Libert Road Manor Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/172707935/lr/img-1.jpeg?ts=2019-04-21T22:58:07.860);," $ 69,900   ",Under Contract - Pending,/7917-boy-street/sale_74206133,"6,300 Lot Sqft.",MLS# 74206133,No Private Pool ,/316-realty-group/broker_GSSR01,316 Realty Group,/david-munoz/agent_dmunoz,David Munoz,.1 Stories,Built in 1940
30,"15015 Garrett Road #4, Houston, TX 77044",.2 Full  Bath(s),3 Bed(s),".1,680 Building Sqft.","Single-Family Property, Traditional Style  in Lincoln Park Farms Subdivision  in North Channel (Market Area) ",,background-image:url(https://photos.harstatic.com/172675260/lr/img-1.jpeg?ts=2019-04-19T15:33:25.883);," $ 69,900   ",For Sale,/15015-garrett-road-4/sale_67357361,"33,105 Lot Sqft.",MLS# 67357361,No Private Pool ,/nb-elite-realty/broker_NBER01,NB Elite Realty,/nikola-knezevic/agent_nknezev,Nikola Knezevic,.1 Stories,Built in 1990
31,"1205 Siesta Lane, Houston, TX 77029",.1 Full  Bath(s),2 Bed(s),".1,296 Building Sqft.","Single-Family Property, Traditional Style  in Market Street Gardens Ext 02 Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/174534457/lr/img-1.jpeg?ts=2019-06-07T17:29:23.093);," $ 69,876   ",For Sale,/1205-siesta-lane/sale_40113846,"7,200 Lot Sqft.",MLS# 40113846,No Private Pool ,/realty-associates/broker_PBME04,Realty Associates,/marisol-velez/agent_msol,Marisol Velez,.1 Stories,Built in 1940
32,"7329 W Knoll Street, Houston, TX 77028",.1 Full  Bath(s),3 Bed(s),".1,060 Building Sqft.","Single-Family Property, Traditional Style  in Rosewood Estates Subdivision  in Northeast Houston (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/171566456/lr/img-1.jpeg?ts=2019-03-20T16:16:15.883);," $ 69,500   ",For Sale,/7329-w-knoll-street/sale_80587751,"7,800 Lot Sqft.",MLS# 80587751,No Private Pool ,/texas-real-estate-pro/broker_RMXJ01,Texas Real Estate Pro,/paige-houston/agent_PHouston,Paige Houston,.1 Stories,Built in 1947
33,"4137 Reed Road, Houston, TX 77051",.3 Full  Bath(s),3 Bed(s),".1,300 Building Sqft.","Single-Family Property, Other Style Style  in Reed Terrace Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/174955995/lr/img-1.jpeg?ts=2019-06-20T12:50:24.177);," $ 69,000   ",For Sale,/4137-reed-road/sale_75762380,"6,634 Lot Sqft.",MLS# 75762380,No Private Pool ,/century-21-olympian-galleria/broker_OLYR01,Century 21 Olympian Galleria,/jack-williams/agent_jackvw,Jack Williams,.1 Stories,Built in 1958
